Brewery_Name,Overall_review,Aroma_review,Appearance_review,Beer_type,Review_taste,Beer_name,Beer_abv
Caldera Brewing Company,4,4.5,4,American Double / Imperial IPA,4.5,Cauldron DIPA,7.7
Caldera Brewing Company,4.5,4,4,Russian Imperial Stout,4.5,Old Growth Imperial Stout,8.8
Hoppin' Frog Brewery,4,4,4,Russian Imperial Stout,4,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,9.4
Caldera Brewing Company,4.5,4.5,4,American Double / Imperial Stout,4.5,Imperial Stout,
Pacific Coast Brewing Company,4,4,4.5,American Barleywine,4,Code Blue,10.4
San Francisco Brewing Company,4,4,3.5,Weizenbock,4,St. Stephen's Bock,
7 Seas Brewery and Taproom,4,4,4,American Double / Imperial IPA,4,Ballz Deep Double IPA,8.4
Broad Ripple Brew Pub,4.5,4,4,American Black Ale,4,Black IPA,6
Broad Ripple Brew Pub,4.5,5,4.5,Russian Imperial Stout,4.5,Broad Ripple Evilsizors Russian Imperial Stout,10.5
Broad Ripple Brew Pub,5,4,4,American Double / Imperial IPA,4.5,Hopcicle Double IPA,9
Broad Ripple Brew Pub,5,4,4,American Double / Imperial Stout,4.5,Ackerman's Imperial Double Stout (Winterfest Replicale 2011),8
Broad Ripple Brew Pub,4,3.5,4.5,American Double / Imperial Stout,4,Ackerman's Imperial Double Stout (Indiana Replicale 2011),8
Moon River Brewing Company,4,4,4,American Double / Imperial IPA,4,Oatboy Imperial IPA,9.5
Moon River Brewing Company,4,4,4.5,American Double / Imperial Stout,4,Oak-Aged Black River Imperial Stout,12
Brouwerij Van Viven,4,4,4,American Double / Imperial IPA,4,Viven Imperial IPA,8
Craggie Brewing Company,4.5,4,4,Flanders Red Ale,4,Belgian Red With Brettanomyces Yeast,
NoDa Brewing Company,4,4,4.5,American Black Ale,4,Deceiver,10
NoDa Brewing Company,4.5,4,4.5,American Double / Imperial IPA,4,NoDa Rye Z'd,8.85
Yeastie Boys,4,4,4.5,American Black Ale,4,Pot Kettle Black,6
Hoppin' Frog Brewery,4,4,4.5,Russian Imperial Stout,4.5,B.O.R.I.S. The Crusher Oatmeal-Imperial Stout,9.4
Third Base Sports Bar & Brewery,4,3.5,4.5,American Double / Imperial IPA,4,Hopturnal Emissions,9
Pike Pub & Brewery,4.5,4.5,4.5,American Double / Imperial IPA,4.5,Pike Double IPA,8
7 Seas Brewery and Taproom,4,4,4,American Black Ale,3.5,Cascadian Dark Ale,7
7 Seas Brewery and Taproom,4.5,4.5,4,Foreign / Export Stout,4.5,Barrel Aged Port Royal Stout W/ Vanilla Beans,
7 Seas Brewery and Taproom,4,3,4,American Barleywine,4,Wheelchair,11.1
Calapooia Brewing Company,4.5,3.5,4.5,Russian Imperial Stout,4.5,Undertow,9.5
Calapooia Brewing Company,5,5,4.5,American Barleywine,5,Calapooia Barleywine,11
Hoppin' Frog Brewery,4.5,4.5,4.5,Russian Imperial Stout,5,D.O.R.I.S. The Destroyer Double Imperial Stout,10.5
Hoppin' Frog Brewery,4,3.5,4,Russian Imperial Stout,3.5,B.O.R.I.S. #100,9.4
Hoppin' Frog Brewery,4,4.5,4,Belgian IPA,4,Hop Master's Abbey Belgian-Style Double IPA,8.5
Hoppin' Frog Brewery,4,4,4,Russian Imperial Stout,3.5,BORIS Royale,9.4
Hoppin' Frog Brewery,4.5,4,4.5,American Double / Imperial IPA,4.5,Meaner Manalishi Double I.P.A.,
Cambridge Brewing Company,4,4,4,Russian Imperial Stout,4,YouEnjoyMyStout,10
Founders Brewing Company,4,4,4.5,American Double / Imperial Stout,3.5,Founders Breakfast Stout,8.3
Hoppin' Frog Brewery,4.5,4.5,4.5,Russian Imperial Stout,5,Cafe BORIS,9.4
Founders Brewing Company,4.5,3.5,4.5,American Double / Imperial IPA,4.5,Founders Double Trouble,9.4
Great Basin Brewing Co.,4,4.5,4,American Double / Imperial Stout,4.5,Bourbon Imperial Stout,13
Great Basin Brewing Co.,5,4.5,4,American Barleywine,5,Bourbon Barrel Barleywine,13
Great Basin Brewing Co.,4,4,3.5,American Barleywine,4,Risky Biscuit Barleywine,9.8
No-Li Brewhouse,4.5,4,4.5,American Wild Ale,4,Whiskey Sour Dunkel,
Catawba Valley Brewing Company,4,4,4,American Black Ale,4.5,Blackwater Uber Pale Ale,9.2
Catawba Valley Brewing Company,4,4.5,4,American Wild Ale,3.5,Momotaro,4.9
Emmett's Brewing Company,4,3.5,4,American Double / Imperial IPA,3.5,Imperial IPA,9.5
Fulton Beer,5,4.5,4.5,American Double / Imperial Stout,4.5,The Worthy Adversary,9.2
Fulton Beer,5,5,5,Russian Imperial Stout,5,War And Peace,
Harmon Restaurant & Brewery,5,4,4,American Double / Imperial Stout,5,Bigwood Oak Aged Stout,7.8
Harmon Restaurant & Brewery,4.5,3.5,3.5,Russian Imperial Stout,4,Sasquatch Imperial Stout,
The Vermont Pub & Brewery,4.5,4.5,4.5,Russian Imperial Stout,4.5,Black Sea Imperial Stout,
Harmon Restaurant & Brewery,4,3.5,4.5,Belgian IPA,4,Saint Humulus,
Harmon Restaurant & Brewery,4,4.5,4,American Black Ale,4,Black Tartan,
The Seven Barrel Brewery,4,4,4,American Double / Imperial Stout,4.5,Conan The Destroyer Coffee Stout,
The Seven Barrel Brewery,4,4,4,American Double / Imperial IPA,4,Conan The Destroyer Double IPA,8.7
Bluegrass Brewing Co. - East St. Matthew's,4.5,4,4,American Double / Imperial Stout,4,Jefferson's Reserve Bourbon Barrel Stout,8.5
Bluegrass Brewing Co. - East St. Matthew's,4.5,4,4,Baltic Porter,4.5,Kick In The Baltic Porter,8.5
Bluegrass Brewing Co. - East St. Matthew's,4,4,4.5,American Double / Imperial IPA,4,Sheltowee Hop-A-Lot IPA,8
Bluegrass Brewing Co. - East St. Matthew's,4,4.5,4,American Double / Imperial Stout,4,Jeffersons Reserve Big Fella Bourbon Barrel Stout,16
Bluegrass Brewing Co. - East St. Matthew's,4,4.5,4,American Barleywine,4.5,Bourbon Barrel Bearded Pat's Barleywine,11
Bluegrass Brewing Co. - East St. Matthew's,4,4.5,3.5,Weizenbock,4.5,Weizenbock,7.1
Anacapa Brewing Company,4.5,4,4.5,American Black Ale,4,Fig Mountains First Anniversary Ale,
Kolding Bryglaug,4,3.5,4,American Wild Ale,4,KB Grand Cru 2011,7
Kolding Bryglaug,4,4,4,American Wild Ale,4,KB Grand Cru 2010 - Oak Aged Cassis,6.5
Kolding Bryglaug,4,4,4,American Wild Ale,4.5,KB Grand Cru 2010 - Kriek,7
The Cowboy Restaurant & Brewery,4,4,4,Weizenbock,4.5,Zona Brewing Weizenbock,
Pike Pub & Brewery,4,4,4,American Barleywine,4,Pike Old Bawdy Barley Wine,10
Pike Pub & Brewery,4.5,4,3,American Double / Imperial IPA,4.5,Double Dry Hop Double,
Brasserie Craig Allan,4,4,4.5,Belgian IPA,4,Agent Provocateur,6.5
Schorschbräu,4,3.5,2.5,Weizenbock,4,Schorsch Weizen 16%,16
Schorschbräu,4,4,4,Eisbock,3.5,Schorschbräu Schorschbock 57%,57.7
Schorschbräu,4,3.5,4,Weizenbock,3.5,Schorschbräu Donner Weizen,13
Schorschbräu,4,4.5,4.5,Eisbock,4.5,Schorschbräu Schorschbock 40%,39.44
Schorschbräu,4,4,3.5,Eisbock,4,Schorschbräu Schorschbock 43%,43
Birrificio Del Levante - Leone D'Oro,4,4,4.5,American Double / Imperial Stout,4,Nera Di Fichi - Imperial,9.7
Birrificio Del Levante - Leone D'Oro,4,4.5,3.5,American Double / Imperial Stout,4.5,Nera Imperiale - Serie Strong (Nastro Viola),8.2
